phone,email,call_attempt,lead_score,phone_valid,email_valid,lead_category
7165373285,kiran9566@gmail.com,0,86,True,True,HOT_LEAD
6446866355,sneha738@protonmail.com,0,99,True,True,HOT_LEAD
9110096617,vijay2664@yahoo.com,1,87,True,True,HOT_LEAD
7072873166,priya8215@protonmail.com,0,83,True,True,HOT_LEAD
6656769352,arjun1242@gmail.com,0,97,True,True,HOT_LEAD
8918871809,vijay8613@protonmail.com,1,91,True,True,HOT_LEAD
6548695867,anita7476@gmail.com,1,86,True,True,HOT_LEAD
8552325436,rahul7115@protonmail.com,2,81,True,True,HOT_LEAD
7016533294,rahul2665@gmail.com,1,88,True,True,HOT_LEAD
7319623087,anita5373@outlook.com,1,81,True,True,HOT_LEAD
8487018811,meera623@gmail.com,2,83,True,True,HOT_LEAD
7624998487,arjun6946@yahoo.com,0,95,True,True,HOT_LEAD
6864914999,vijay5718@outlook.com,2,87,True,True,HOT_LEAD
6877950810,meera9987@protonmail.com,1,90,True,True,HOT_LEAD
6465993427,sneha3442@protonmail.com,1,96,True,True,HOT_LEAD
6459624131,kiran4040@yahoo.com,1,97,True,True,HOT_LEAD
9071481871,sneha4353@gmail.com,2,95,True,True,HOT_LEAD
6685077025,rohit1587@outlook.com,0,83,True,True,HOT_LEAD
7157126611,kiran536@yahoo.com,2,91,True,True,HOT_LEAD
6027815705,vijay8709@outlook.com,1,85,True,True,HOT_LEAD
8861701315,deepak9164@gmail.com,2,97,True,True,HOT_LEAD
7017673241,rohit7913@yahoo.com,0,95,True,True,HOT_LEAD
9865564548,rohit2763@outlook.com,0,97,True,True,HOT_LEAD
7925092947,rohit5474@gmail.com,2,83,True,True,HOT_LEAD
6993876453,arjun8722@gmail.com,1,83,True,True,HOT_LEAD
6930588280,anita3682@gmail.com,0,82,True,True,HOT_LEAD
6884897155,rohit1959@protonmail.com,2,84,True,True,HOT_LEAD
8015596208,meera4292@outlook.com,1,97,True,True,HOT_LEAD
8648996461,priya6576@protonmail.com,2,94,True,True,HOT_LEAD
9490589735,anita7937@protonmail.com,0,81,True,True,HOT_LEAD
6866504458,kiran5251@yahoo.com,1,88,True,True,HOT_LEAD
7361120707,priya9177@gmail.com,0,98,True,True,HOT_LEAD
9870035771,vijay9103@outlook.com,2,89,True,True,HOT_LEAD
6847582776,vijay7549@outlook.com,0,94,True,True,HOT_LEAD
8412274759,vijay8410@protonmail.com,0,89,True,True,HOT_LEAD
8732674718,priya7782@protonmail.com,0,95,True,True,HOT_LEAD
6825475423,deepak163@gmail.com,0,95,True,True,HOT_LEAD
6152876309,vijay5986@gmail.com,0,83,True,True,HOT_LEAD
6170246380,priya9350@outlook.com,1,93,True,True,HOT_LEAD
9308843216,kiran1482@gmail.com,1,92,True,True,HOT_LEAD
9475607906,anita9299@protonmail.com,0,97,True,True,HOT_LEAD
9930658191,vijay6070@protonmail.com,0,81,True,True,HOT_LEAD
6699231297,rahul1852@yahoo.com,2,84,True,True,HOT_LEAD
8802894015,sneha9122@yahoo.com,0,85,True,True,HOT_LEAD
7079286134,kiran3487@gmail.com,2,80,True,True,HOT_LEAD
7266911487,deepak9194@yahoo.com,1,82,True,True,HOT_LEAD
9666456626,rohit6166@outlook.com,2,93,True,True,HOT_LEAD
6779821987,rahul540@gmail.com,1,92,True,True,HOT_LEAD
8156523746,arjun2399@outlook.com,0,96,True,True,HOT_LEAD
8299348036,arjun9165@gmail.com,1,83,True,True,HOT_LEAD
8806690340,rahul295@protonmail.com,0,80,True,True,HOT_LEAD
7726883367,rohit193@gmail.com,2,93,True,True,HOT_LEAD
7500536313,priya7736@yahoo.com,1,88,True,True,HOT_LEAD
8233072915,deepak6169@protonmail.com,1,98,True,True,HOT_LEAD
8759708143,meera519@yahoo.com,1,81,True,True,HOT_LEAD
6397929935,sneha610@gmail.com,0,88,True,True,HOT_LEAD
6412745992,meera254@outlook.com,1,85,True,True,HOT_LEAD
7165629265,kiran4095@yahoo.com,1,86,True,True,HOT_LEAD
9886730200,rahul5252@gmail.com,0,84,True,True,HOT_LEAD
8747641931,priya9070@gmail.com,1,94,True,True,HOT_LEAD
6348577852,deepak764@protonmail.com,1,87,True,True,HOT_LEAD
7476393335,vijay4914@yahoo.com,2,100,True,True,HOT_LEAD
7761252072,priya2238@protonmail.com,2,83,True,True,HOT_LEAD
7097457485,deepak1482@gmail.com,0,86,True,True,HOT_LEAD
7492758079,kiran8783@outlook.com,0,89,True,True,HOT_LEAD
9002153836,priya7804@yahoo.com,2,98,True,True,HOT_LEAD
8391521309,kiran1548@outlook.com,2,85,True,True,HOT_LEAD
7917548645,meera2806@gmail.com,1,83,True,True,HOT_LEAD
9529877631,arjun5767@gmail.com,2,99,True,True,HOT_LEAD
6777781551,rohit949@outlook.com,2,90,True,True,HOT_LEAD
9343014154,sneha8813@protonmail.com,1,82,True,True,HOT_LEAD
7848874010,rahul9159@outlook.com,2,87,True,True,HOT_LEAD
8412849984,priya6726@protonmail.com,2,86,True,True,HOT_LEAD
9813259034,rohit5033@gmail.com,2,83,True,True,HOT_LEAD
7685374987,deepak1840@gmail.com,1,80,True,True,HOT_LEAD
6629903149,deepak8928@outlook.com,1,82,True,True,HOT_LEAD
7620455084,priya1151@gmail.com,1,82,True,True,HOT_LEAD
6203847278,vijay6789@gmail.com,2,95,True,True,HOT_LEAD
6024437144,meera3556@outlook.com,2,96,True,True,HOT_LEAD
6185309065,sneha9149@outlook.com,0,99,True,True,HOT_LEAD
9569149796,kiran9253@outlook.com,1,82,True,True,HOT_LEAD
6193945804,rohit1321@outlook.com,1,95,True,True,HOT_LEAD
7933585094,rohit4877@yahoo.com,0,91,True,True,HOT_LEAD
8821515694,deepak8806@outlook.com,0,87,True,True,HOT_LEAD
7525265055,rahul898@outlook.com,2,96,True,True,HOT_LEAD
8355615902,vijay6719@gmail.com,2,86,True,True,HOT_LEAD
9441587990,priya342@protonmail.com,0,81,True,True,HOT_LEAD
6514632551,rohit545@yahoo.com,0,98,True,True,HOT_LEAD
6221839809,priya8692@yahoo.com,2,98,True,True,HOT_LEAD
7805231662,rohit1335@gmail.com,1,84,True,True,HOT_LEAD
9058506482,priya35@yahoo.com,0,85,True,True,HOT_LEAD
7390119724,kiran3396@outlook.com,2,85,True,True,HOT_LEAD
8285851212,priya4837@gmail.com,0,86,True,True,HOT_LEAD
8273400859,meera5090@gmail.com,2,84,True,True,HOT_LEAD
8762989131,rahul7565@protonmail.com,0,90,True,True,HOT_LEAD
8877839186,rahul8249@outlook.com,1,91,True,True,HOT_LEAD
7318134883,meera39@gmail.com,0,98,True,True,HOT_LEAD
9421296625,anita2247@yahoo.com,2,85,True,True,HOT_LEAD
9579648878,kiran2420@yahoo.com,0,85,True,True,HOT_LEAD
8728907179,arjun8079@yahoo.com,0,94,True,True,HOT_LEAD
8157155033,meera7554@outlook.com,0,91,True,True,HOT_LEAD
8734265186,arjun9065@outlook.com,2,99,True,True,HOT_LEAD
7339002822,deepak6103@yahoo.com,2,81,True,True,HOT_LEAD
7826799097,priya7110@gmail.com,1,100,True,True,HOT_LEAD
6063148914,deepak4769@yahoo.com,1,84,True,True,HOT_LEAD
6459815636,deepak3076@outlook.com,1,96,True,True,HOT_LEAD
6283647768,arjun8854@gmail.com,1,88,True,True,HOT_LEAD
8369528126,kiran1665@gmail.com,2,96,True,True,HOT_LEAD
9627036716,kiran9887@outlook.com,0,83,True,True,HOT_LEAD
8263067232,priya8515@yahoo.com,1,100,True,True,HOT_LEAD
8186948729,rohit342@gmail.com,0,96,True,True,HOT_LEAD
9892000433,vijay5564@gmail.com,0,95,True,True,HOT_LEAD
9016214097,priya2867@yahoo.com,2,100,True,True,HOT_LEAD
6454292528,anita5503@protonmail.com,0,91,True,True,HOT_LEAD
7557756827,meera8846@yahoo.com,1,97,True,True,HOT_LEAD
8071720499,arjun2398@yahoo.com,2,99,True,True,HOT_LEAD
7230884324,sneha4455@outlook.com,0,100,True,True,HOT_LEAD
6165855597,sneha9503@protonmail.com,2,82,True,True,HOT_LEAD
8147589754,sneha1090@gmail.com,0,94,True,True,HOT_LEAD
7237949807,kiran1096@yahoo.com,0,94,True,True,HOT_LEAD
8895202521,rohit2860@yahoo.com,2,94,True,True,HOT_LEAD
6023105528,deepak3391@protonmail.com,2,81,True,True,HOT_LEAD
7821083246,deepak428@yahoo.com,2,87,True,True,HOT_LEAD
8322391956,meera1256@gmail.com,0,95,True,True,HOT_LEAD
8715741227,kiran5842@protonmail.com,1,84,True,True,HOT_LEAD
7962988028,rohit1209@gmail.com,0,81,True,True,HOT_LEAD
